DateID,Date,DayofWeek,Month,Quarter,Year,Isweekend
20140921,21-09-2014,6,9,3,2014,TRUE
20140922,22-09-2014,0,9,3,2014,FALSE
20140923,23-09-2014,1,9,3,2014,FALSE
20140924,24-09-2014,2,9,3,2014,FALSE
20140925,25-09-2014,3,9,3,2014,FALSE
20140926,26-09-2014,4,9,3,2014,FALSE
20140927,27-09-2014,5,9,3,2014,TRUE
20140928,28-09-2014,6,9,3,2014,TRUE
20140929,29-09-2014,0,9,3,2014,FALSE
20140930,30-09-2014,1,9,3,2014,FALSE
20141001,01-10-2014,2,10,4,2014,FALSE
20141002,02-10-2014,3,10,4,2014,FALSE
20141003,03-10-2014,4,10,4,2014,FALSE
20141004,04-10-2014,5,10,4,2014,TRUE
20141005,05-10-2014,6,10,4,2014,TRUE
20141006,06-10-2014,0,10,4,2014,FALSE
20141007,07-10-2014,1,10,4,2014,FALSE
20141008,08-10-2014,2,10,4,2014,FALSE
20141009,09-10-2014,3,10,4,2014,FALSE
20141010,10-10-2014,4,10,4,2014,FALSE
20141011,11-10-2014,5,10,4,2014,TRUE
20141012,12-10-2014,6,10,4,2014,TRUE
20141013,13-10-2014,0,10,4,2014,FALSE
20141014,14-10-2014,1,10,4,2014,FALSE
20141015,15-10-2014,2,10,4,2014,FALSE
20141016,16-10-2014,3,10,4,2014,FALSE
20141017,17-10-2014,4,10,4,2014,FALSE
20141018,18-10-2014,5,10,4,2014,TRUE
20141019,19-10-2014,6,10,4,2014,TRUE
20141020,20-10-2014,0,10,4,2014,FALSE
20141021,21-10-2014,1,10,4,2014,FALSE
20141022,22-10-2014,2,10,4,2014,FALSE
20141023,23-10-2014,3,10,4,2014,FALSE
20141024,24-10-2014,4,10,4,2014,FALSE
20141025,25-10-2014,5,10,4,2014,TRUE
20141026,26-10-2014,6,10,4,2014,TRUE
20141027,27-10-2014,0,10,4,2014,FALSE
20141028,28-10-2014,1,10,4,2014,FALSE
20141029,29-10-2014,2,10,4,2014,FALSE
20141030,30-10-2014,3,10,4,2014,FALSE
20141031,31-10-2014,4,10,4,2014,FALSE
20141101,01-11-2014,5,11,4,2014,TRUE
20141102,02-11-2014,6,11,4,2014,TRUE
20141103,03-11-2014,0,11,4,2014,FALSE
20141104,04-11-2014,1,11,4,2014,FALSE
20141105,05-11-2014,2,11,4,2014,FALSE
20141106,06-11-2014,3,11,4,2014,FALSE
20141107,07-11-2014,4,11,4,2014,FALSE
20141108,08-11-2014,5,11,4,2014,TRUE
20141109,09-11-2014,6,11,4,2014,TRUE
20141110,10-11-2014,0,11,4,2014,FALSE
20141111,11-11-2014,1,11,4,2014,FALSE
20141112,12-11-2014,2,11,4,2014,FALSE
20141113,13-11-2014,3,11,4,2014,FALSE
20141114,14-11-2014,4,11,4,2014,FALSE
20141115,15-11-2014,5,11,4,2014,TRUE
20141116,16-11-2014,6,11,4,2014,TRUE
20141117,17-11-2014,0,11,4,2014,FALSE
20141118,18-11-2014,1,11,4,2014,FALSE
20141119,19-11-2014,2,11,4,2014,FALSE
20141120,20-11-2014,3,11,4,2014,FALSE
20141121,21-11-2014,4,11,4,2014,FALSE
20141122,22-11-2014,5,11,4,2014,TRUE
20141123,23-11-2014,6,11,4,2014,TRUE
20141124,24-11-2014,0,11,4,2014,FALSE
20141125,25-11-2014,1,11,4,2014,FALSE
20141126,26-11-2014,2,11,4,2014,FALSE
20141127,27-11-2014,3,11,4,2014,FALSE
20141128,28-11-2014,4,11,4,2014,FALSE
20141129,29-11-2014,5,11,4,2014,TRUE
20141130,30-11-2014,6,11,4,2014,TRUE
20141201,01-12-2014,0,12,4,2014,FALSE
20141202,02-12-2014,1,12,4,2014,FALSE
20141203,03-12-2014,2,12,4,2014,FALSE
20141204,04-12-2014,3,12,4,2014,FALSE
20141205,05-12-2014,4,12,4,2014,FALSE
20141206,06-12-2014,5,12,4,2014,TRUE
20141207,07-12-2014,6,12,4,2014,TRUE
20141208,08-12-2014,0,12,4,2014,FALSE
20141209,09-12-2014,1,12,4,2014,FALSE
20141210,10-12-2014,2,12,4,2014,FALSE
20141211,11-12-2014,3,12,4,2014,FALSE
20141212,12-12-2014,4,12,4,2014,FALSE
20141213,13-12-2014,5,12,4,2014,TRUE
20141214,14-12-2014,6,12,4,2014,TRUE
20141215,15-12-2014,0,12,4,2014,FALSE
20141216,16-12-2014,1,12,4,2014,FALSE
20141217,17-12-2014,2,12,4,2014,FALSE
20141218,18-12-2014,3,12,4,2014,FALSE
20141219,19-12-2014,4,12,4,2014,FALSE
20141220,20-12-2014,5,12,4,2014,TRUE
